              RESIDÊNCIAS TERAPÊUTICAS

COD. UNIDADE  NOME UNIDADE                                          ENDEREÇO                    COD POSTAL
11709  SRT 31  ANTIGA - AV. MARACANÃ, N° 1341 AP. 302 - MARACANÃ                       22710-074
11710  SRT 32  ANTIGA - RUA CAÇU Nº 279 - TAQUARA                                      22730-170
11714  SRT 36  ANTIGA - ATITUBA, 149 - TAQUARA                                         23570-180
11717  SRT 39  ANTIGA - RICARDO KIRK, 8 - SANTA CRUZ                                   22713-372
11722  SRT 44  ANTIGA - RODRIGUES CALDAS, 2135 - TAQUARA                               22713-372
11723  SRT 45  ANTIGA - ESTR. RODRIGUES CALDAS, 2228 CASA 53 RUA A - TAQUARA           22713-372
11724  SRT 46  ANTIGA - ESTRADA RODRIGUES CALDAS 2228 CASA 12                          22713-372
11725  SRT 47  ANTIGA - ESTR. RODRIGUES CALDAS, 2135 RUA 4 CASA 33 B - TAQUARA         22713-372
11746  SRT 68  ANTIGA - ESTRADA RODRIGUES CALDAS 2135 RUA 4 CASA 33 A - TAQUARA        21351-210
11749  SRT 71  ANTIGA - ESTRADA DA PORTELA, 713 - TURIAÇU                              20770-130
               ANTIGA - RUA PIAUI, 273 - TODOS OS SANTOS
11753  SRT 75  ANTIGA - PETER PAN, 06 - CAMPO GRANDE                     23045-420
11763  SRT 85  ANTIGA - DR. DOUTOR LESSA 53B - REALENGO                  21710-190
11765  SRT 87  ANTIGA - ADOLFO BERGAMINI, 249 - ENGENHO DE DENTRO        20730-000
11767  SRT 89  ANTIGA - RUA BARAO DE PIRAQUARA 375, PADRE MIGUEL.        21721-301
11773  SRT 95  ANTIGA - AV.DOM HÉLDER CÂMARA 2204 - MARIA DA GRAÇA       21050-455
11774  SRT 96  ANTIGA - RUA PROFESSOR JOÃO MASSENA, 234A - VISTA ALEGRE  21236-060
11775  SRT 97  ANTIGA - BARROS BARRETO, 43 - BONSUCESSO                  21032-140

Nota: CEPs em laranja foram confirmados por correspondência única de logradouro (sem bairro exato na base) ou por pesquisa manual complementar, pois o
endereço não retornou correspondência automática direta na base dos Correios (ViaCEP).

